Driver,DriverNumber,LapNumber,Position,PositionChange,LapTimeSeconds,LapTimeDelta,EstimatedEnergyIndex,LookaheadDeployProxy,LookaheadHarvestProxy,LookaheadCoveredM,DriverAhead_end,DistanceToDriverAhead_end,DistanceToDriverAhead_median,n_samples_with_car_ahead,n_car_samples_ahead_extract
COL,43,3,16.0,0.0,86.935,-1.2309999999999943,0.9449307998191824,17056.068831674944,99580.99281595764,400.0,55,75.45027777777705,58.367777777775245,328,329
COL,43,4,16.0,0.0,86.812,-0.1230000000000046,0.9661675389323102,16647.216443905345,99551.3197953132,400.0,55,18.90194444444387,33.1404166666664,330,331
COL,43,5,16.0,0.0,87.512,0.7000000000000028,0.9673733422674144,17257.110628337814,99590.77459805115,400.0,30,10.950277777775227,22.54347222222293,336,337
COL,43,6,15.0,-1.0,87.513,0.0010000000000047,0.9611398778674064,16638.976426920555,99550.64802323624,400.00000000000006,55,77.79944444443481,27.036944444444455,331,332
COL,43,7,15.0,0.0,86.068,-1.4450000000000074,0.9619581066101132,17050.84915353713,99580.7388500909,400.0,55,138.71611111110087,89.24527777777757,309,310
COL,43,8,15.0,0.0,85.818,-0.25,0.9284495009478028,16273.185971782932,99520.82674808182,400.00000000000006,55,142.45444444444547,89.62944444444452,305,306
COL,43,9,20.0,5.0,109.931,24.113,0.9284495009478028,16902.050808264965,99572.09531198298,400.0,18,751.1202777777808,138.73444444444328,414,415
COL,43,10,20.0,0.0,92.762,-17.168999999999997,0.9284495009478028,17190.096696116856,99587.51400402,400.0,18,1023.1316666666607,934.9175000000018,344,345
COL,43,11,18.0,-2.0,105.807,13.045000000000002,0.9284495009478028,17270.917518895898,99591.44637873094,400.0,14,376.4641666666648,904.5269444444436,383,384
COL,43,12,17.0,-1.0,123.67,17.863,0.9284495009478028,16632.100274816,99550.08744102028,400.0,14,744.3297222222254,235.96236111111068,464,465
COL,43,13,16.0,-1.0,93.872,-29.798,0.9284495009478028,16941.62183235976,99575.32136225604,400.0,30,1114.139166666666,413.0386111111097,349,350
COL,43,14,16.0,0.0,86.663,-7.209000000000003,0.951562327200119,16913.2648083914,99573.00953972912,400.0,11,1116.7044444444418,1034.8644444444435,321,322
COL,43,15,16.0,0.0,85.6,-1.0630000000000024,0.954058411875343,15615.17799476962,99467.18227305327,400.0,11,1048.986388888894,1048.574166666669,323,324
